,Symbol,Exchange,Volume,Volume %,+2% Depth,-2% Depth,Base,Quote
1451,SOL/USDT,Binance,539549200.0,19.78,4545079.86,3798983.42,SOL,USDT
1452,SOL/USDT,OKEx,235123300.0,8.62,637445.22,614605.59,SOL,USDT
1453,SOL/USDT,BW.com,137521140.0,5.04,5309.54,6692.88,SOL,USDT
1454,SOL/USDT,Huobi Global,65605850.0,2.4,542513.64,878079.01,SOL,USDT
1455,SOL/USDT,DigiFinex,44494160.0,1.63,1908978.51,981112.29,SOL,USDT
1456,SOL/USDT,FTX,40241560.0,1.47,1287928.34,1271822.0,SOL,USDT
1457,SOL/USDT,KuCoin,31938732.0,1.17,1202374.28,807837.39,SOL,USDT
1458,SOL/USDT,LATOKEN,29944766.0,1.1,332475.91,123387.12,SOL,USDT
1459,SOL/USDT,Bitglobal,24940184.0,0.91,974.3,2946.85,SOL,USDT
1460,SOL/USDT,BitMart,19986000.0,0.73,773630.37,76738.09,SOL,USDT
1461,SOL/USDT,Binance.US,15940833.0,0.58,491156.9,693944.3,SOL,USDT
1462,SOL/USDT,Gate.io,15073688.0,0.55,692537.26,960248.41,SOL,USDT
1463,SOL/USDT,WOO Network,13334690.0,0.49,6142124.49,4548586.33,SOL,USDT
1464,SOL/USDT,ExMarkets,12502134.0,0.46,348517.84,559213.01,SOL,USDT
1465,SOL/USDT,Coinbase Exchange,11330839.0,0.42,640059.12,668609.61,SOL,USDT
1466,SOL/USDT,XT.COM,10067700.0,0.37,474848.67,699547.99,SOL,USDT
1467,SOL/USDT,Pionex,9978332.0,0.37,2321189.27,3446233.5,SOL,USDT
1468,SOL/USDT,Crypto.com Exchange,9830044.0,0.36,572018.0,587316.84,SOL,USDT
1469,SOL/USDT,AEX,9776224.0,0.36,406727.74,546867.47,SOL,USDT
1470,SOL/USDT,LBank,8634747.0,0.32,1082119.99,442311.07,SOL,USDT
1471,SOL/USDT,Bibox,7945308.0,0.29,65506.7,81667.69,SOL,USDT
1472,SOL/USDT,FTX US,7713774.0,0.28,1319238.01,826447.56,SOL,USDT
1473,SOL/USDT,BtcTurk | Pro,5322563.0,0.2,311835.55,296107.92,SOL,USDT
1474,SOL/USDT,CoinEx,4834331.0,0.18,289704.56,389371.19,SOL,USDT
1475,SOL/USDT,AscendEX (Bitmax),4227208.0,0.15,377048.21,367298.97,SOL,USDT
1476,SOL/USDT,AAX,3548645.0,0.13,903663.4,1091408.3,SOL,USDT
1477,SOL/USDT,ZB.COM,3223964.0,0.12,141486.19,131059.84,SOL,USDT
1478,SOL/USDT,CoinDCX,1779094.0,0.07,2384260.42,2264965.22,SOL,USDT
1479,SOL/USDT,KickEX,1154625.0,0.04,81259.19,71020.18,SOL,USDT
1480,SOL/USDT,BankCEX,960200.0,0.04,1133763.32,1085631.42,SOL,USDT
1481,SOL/USDT,WazirX,541610.0,0.02,13779.78,8435.24,SOL,USDT
1482,SOL/USDT,Coinlist Pro,141111.0,0.01,24299.06,31024.97,SOL,USDT
1483,SOL/USDT,Deepcoin,101732.0,0.0,964141.61,429301.81,SOL,USDT
1484,SOL/USDT,NovaDAX,50779.0,0.0,34709.75,51223.88,SOL,USDT
1485,SOL/UST,Bitfinex,9883617.0,0.36,1192773.9,1413329.08,SOL,UST
1486,SOLD/SOL,ExMarkets,210649.0,0.01,4763.99,3167.47,SOLD,SOL
1487,SPARTA/BNB,Binance,1209066.0,0.06,10970.61,17652.18,SPARTA,BNB
1488,SRM/BNB,Binance,481485.0,0.02,41271.62,54850.27,SRM,BNB
1489,STPT/BTC,Binance,34166410.0,0.09,72394.06,213348.17,STPT,BTC
1490,STR/BTC,Poloniex,256072.0,0.02,12201.42,12692.32,STR,BTC
1491,STR/USDC,Poloniex,60710.0,0.0,5860.78,5865.12,STR,USDC
1492,STR/USDT,Poloniex,515745.0,0.03,16231.1,17583.27,STR,USDT
1493,STX/BNB,Binance,700264.0,0.03,21653.9,49546.41,STX,BNB
1494,SUSHI/BNB,Binance,956696.0,0.05,52650.14,86067.19,SUSHI,BNB
1495,SXP/BNB,Binance,842379.0,0.04,26032.68,100483.39,SXP,BNB
1496,THETA/BNB,Binance,1304374.0,0.07,69417.02,65348.2,THETA,BNB
1497,THETA/ETH,Binance,2347022.0,0.01,37797.13,126418.63,THETA,ETH
1498,TORN/BNB,Binance,491483.0,0.02,14763.83,9424.02,TORN,BNB
1499,TROY/BNB,Binance,4733708.0,0.24,8896.11,51861.91,TROY,BNB
