Exchange,Symbol,Price,+2% Depth,-2% Depth,Volume,Volume %,Confidence,Liquidity,Updated,Base,Quote
Binance,ETH/BRL,3606.2,672900.66,174817.98,10964809.0,0.06,High,619.0,Recently,ETH,BRL
Binance,ETH/AUD,3601.72,475616.23,193493.59,10961555.0,0.06,High,704.0,Recently,ETH,AUD
Bitstamp,ETH/BTC,3600.95,1686682.17,1385737.82,10916457.0,0.06,High,339.0,Recently,ETH,BTC
Bitfinex,ETH/GBP,3599.31,19170792.83,21482750.17,10363976.0,0.05,High,629.0,Recently,ETH,GBP
Bitfinex,ETH/EUR,3600.12,16377070.33,14177806.43,8596024.0,0.04,High,605.0,Recently,ETH,EUR
Binance,LTC/ETH,3599.0,163834.12,280054.96,7892870.0,0.04,High,550.0,Recently,LTC,ETH
Bittrex,ETH/BTC,3604.25,817230.14,1034970.72,7718979.0,0.04,High,487.0,Recently,ETH,BTC
Binance,LINK/ETH,3595.27,171458.43,275648.7,7457897.0,0.04,High,865.0,Recently,LINK,ETH
Bitfinex,ETH/JPY,3599.94,16692474.9,12865589.01,7002271.0,0.04,High,621.0,Recently,ETH,JPY
Liquid,ETH/JPY,3594.07,1494567.58,1568516.71,6737880.0,0.04,High,255.0,Recently,ETH,JPY
Coinbase Exchange,ETH/DAI,3596.91,758255.14,709205.65,6372410.0,0.03,High,261.0,Recently,ETH,DAI
Gemini,ETH/BTC,3603.54,3151385.09,3607036.95,6266384.0,0.03,High,406.0,Recently,ETH,BTC
Bittrex,ETH/USD,3598.46,1398253.67,1405245.24,6073539.0,0.03,High,411.0,Recently,ETH,USD
Binance,XRP/ETH,3599.0,182364.35,410130.6,5629391.0,0.03,High,840.0,Recently,XRP,ETH
Huobi Global,CVNT/ETH,3595.27,2909.82,10001.4,5130655.0,0.03,Low,73.0,Recently,CVNT,ETH
Binance,VET/ETH,3599.0,140915.84,222472.15,4755124.0,0.02,High,695.0,Recently,VET,ETH
Huobi Global,JST/ETH,3595.27,94041.04,96528.33,4741713.0,0.02,Low,191.0,Recently,JST,ETH
Huobi Global,ETH/HUSD,3596.23,225627.71,179741.34,4579649.0,0.02,High,482.0,Recently,ETH,HUSD
Binance.US,ETH/BTC,3601.38,2651382.22,1444807.1,4561546.0,0.02,High,921.0,Recently,ETH,BTC
Binance,XLM/ETH,3595.27,43154.14,146765.84,4377450.0,0.02,High,636.0,Recently,XLM,ETH
Bittrex,ETH/USDT,3598.57,1363544.69,1264413.68,4336781.0,0.02,High,356.0,Recently,ETH,USDT
Poloniex,ETH/USDC,3597.0,240697.22,271738.96,4327259.0,0.02,High,452.0,Recently,ETH,USDC
Binance,ETH/TUSD,3598.6,165249.54,209489.29,3918491.0,0.02,High,544.0,Recently,ETH,TUSD
FTX US,ETH/BTC,3603.4,5288736.12,3871004.31,3867546.0,0.02,High,325.0,Recently,ETH,BTC
Binance.US,ETH/BUSD,3598.16,419805.91,388607.28,3784601.0,0.02,High,899.0,Recently,ETH,BUSD
Binance,XMR/ETH,3595.27,89065.5,222510.66,3449562.0,0.02,High,948.0,Recently,XMR,ETH
Binance,ADX/ETH,3595.27,19362.91,64151.01,3427425.0,0.02,High,904.0,Recently,ADX,ETH
Gate.io,CYS/ETH,3595.27,507.77,-,3128018.0,0.02,Low,33.0,Recently,CYS,ETH
Huobi Global,ADA/ETH,3595.27,124709.2,164039.91,3018721.0,0.02,Moderate,210.0,Recently,ADA,ETH
Kraken,ETH/USDC,3597.93,910892.85,397384.69,2977933.0,0.02,High,512.0,Recently,ETH,USDC
Kraken,ETH/GBP,3602.85,1177618.41,1064065.54,2965755.0,0.02,High,574.0,Recently,ETH,GBP
Binance,TRX/ETH,3595.27,139676.6,304422.52,2828729.0,0.01,High,908.0,Recently,TRX,ETH
KuCoin,FTM/ETH,3595.27,39784.63,172292.44,2777689.0,0.01,High,142.0,Recently,FTM,ETH
Binance,WBTC/ETH,3595.27,115084.0,143366.3,2751279.0,0.01,High,555.0,Recently,WBTC,ETH
Binance,SCRT/ETH,3595.27,21355.48,89483.14,2681008.0,0.01,High,627.0,Recently,SCRT,ETH
Binance,BETH/ETH,3602.16,8676245.68,8035329.62,2637338.0,0.01,High,864.0,Recently,BETH,ETH
KuCoin,ETH/USDC,3600.73,198780.56,141110.57,2613324.0,0.01,High,200.0,Recently,ETH,USDC
Zaif,ETH/JPY,3585.07,650288.24,562605.83,2592094.0,0.01,High,194.0,Recently,ETH,JPY
Binance,ETH/RUB,3608.17,338574.77,191265.6,2462348.0,0.01,High,600.0,Recently,ETH,RUB
Kraken,ETH/CAD,3579.88,453510.38,376000.05,2380506.0,0.01,High,102.0,Recently,ETH,CAD
Binance,THETA/ETH,3595.27,37797.13,126418.63,2347022.0,0.01,High,845.0,Recently,THETA,ETH
Huobi Global,BETH/ETH,3602.16,87415.9,475665.3,2247181.0,0.01,Low,79.0,Recently,BETH,ETH
Binance,PROS/ETH,3613.43,18771.81,13517.63,2185927.0,0.01,High,513.0,Recently,PROS,ETH
